[matchday_prewarm] iniciando índice leve de 2026-08-12
[scraper] Challenge liberado. Sessao persistente ativa.
[matchday_prewarm] 2026-08-12: 10/332, falhas=0
[matchday_prewarm] 2026-08-12: 20/332, falhas=0
[matchday_prewarm] 2026-08-12: 30/332, falhas=0
[matchday_prewarm] 2026-08-12: 40/332, falhas=0
[matchday_prewarm] 2026-08-12: 50/332, falhas=0
[matchday_prewarm] 2026-08-12: 60/332, falhas=0
[matchday_prewarm] 2026-08-12: 70/332, falhas=0
[matchday_prewarm] 2026-08-12: 80/332, falhas=0
[matchday_prewarm] 2026-08-12: 90/332, falhas=0
[matchday_prewarm] 2026-08-12: 100/332, falhas=0
[matchday_prewarm] 2026-08-12: 110/332, falhas=0
[matchday_prewarm] 2026-08-12: 120/332, falhas=0
[matchday_prewarm] 2026-08-12: 130/332, falhas=0
[matchday_prewarm] 2026-08-12: 140/332, falhas=0
[matchday_prewarm] 2026-08-12: 150/332, falhas=0
[matchday_prewarm] 2026-08-12: 160/332, falhas=0
[matchday_prewarm] 2026-08-12: 170/332, falhas=0
[matchday_prewarm] 2026-08-12: 180/332, falhas=0
[matchday_prewarm] 2026-08-12: 190/332, falhas=0
[matchday_prewarm] 2026-08-12: 200/332, falhas=0
[matchday_prewarm] 2026-08-12: 210/332, falhas=0
[matchday_prewarm] 2026-08-12: 220/332, falhas=0
[matchday_prewarm] 2026-08-12: 230/332, falhas=0
[matchday_prewarm] 2026-08-12: 240/332, falhas=0
[matchday_prewarm] 2026-08-12: 250/332, falhas=0
[matchday_prewarm] 2026-08-12: 260/332, falhas=0
[matchday_prewarm] 2026-08-12: 270/332, falhas=0
[matchday_prewarm] 2026-08-12: 280/332, falhas=0
[matchday_prewarm] 2026-08-12: 290/332, falhas=0
[matchday_prewarm] 2026-08-12: 300/332, falhas=0
[matchday_prewarm] 2026-08-12: 310/332, falhas=0
[matchday_prewarm] 2026-08-12: 320/332, falhas=0
[matchday_prewarm] 2026-08-12: 330/332, falhas=0
[matchday_prewarm] 2026-08-12: completo=True entradas=332/332 falhas=0
[matchday_prewarm] iniciando índice leve de 2026-08-13
[matchday_prewarm] 2026-08-13: completo=True entradas=2/2 falhas=0
